Date,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Quality,Duration,Bedtime,Wake Time
7/8/2024,77,59,34,95,16,Fair,6h 43min,11:41 PM,6:25 AM
7/7/2024,91,54,57,96,16,Excellent,8h 13min,11:30 PM,7:43 AM
7/6/2024,81,55,49,97,15,Good,7h 1min,12:13 AM,7:14 AM
7/5/2024,77,59,34,96,16,Fair,7h 31min,11:19 PM,7:03 AM
7/4/2024,79,60,31,96,15,Fair,7h 38min,11:23 PM,7:27 AM
7/3/2024,50,59,35,95,15,Poor,8h 24min,11:23 PM,7:58 AM
7/2/2024,73,59,32,97,15,Fair,6h 50min,11:20 PM,6:15 AM
7/1/2024,81,59,38,97,13,Good,8h 25min,11:05 PM,7:45 AM
6/30/2024,68,59,33,95,15,Fair,7h 0min,12:28 AM,7:29 AM
6/29/2024,78,55,44,95,15,Fair,7h 0min,12:36 AM,7:39 AM
6/28/2024,74,58,39,97,15,Fair,7h 30min,11:23 PM,7:22 AM
6/27/2024,86,56,47,96,15,Good,8h 22min,11:00 PM,7:23 AM
6/26/2024,77,54,0,95,16,Fair,6h 10min,12:25 AM,6:35 AM
6/25/2024,71,57,33,96,15,Fair,7h 33min,10:58 PM,6:31 AM
6/24/2024,87,57,47,95,15,Good,8h 57min,10:28 PM,7:25 AM
6/23/2024,45,61,22,95,14,Poor,6h 38min,11:46 PM,7:23 AM
6/22/2024,50,57,31,96,15,Poor,7h 19min,11:23 PM,7:03 AM
6/21/2024,75,56,41,96,14,Fair,6h 36min,10:49 PM,5:55 AM
6/20/2024,87,54,61,96,15,Good,7h 29min,11:59 PM,7:32 AM
6/19/2024,64,61,31,98,15,Fair,5h 27min,1:18 AM,6:45 AM
6/18/2024,79,56,45,0,16,Fair,6h 36min,11:41 PM,6:31 AM
6/17/2024,79,56,36,98,15,Fair,7h 0min,11:21 PM,6:34 AM
6/16/2024,52,59,32,94,14,Poor,8h 24min,11:36 PM,8:31 AM
6/15/2024,75,56,51,95,15,Fair,6h 57min,11:31 PM,6:55 AM
6/14/2024,82,55,42,95,16,Good,7h 29min,11:33 PM,7:02 AM
6/13/2024,75,58,41,95,16,Fair,6h 23min,12:00 AM,6:23 AM
6/12/2024,80,55,53,94,15,Good,6h 44min,12:41 AM,7:39 AM
6/11/2024,78,59,36,0,13,Fair,6h 52min,12:02 AM,6:55 AM
6/10/2024,82,55,39,97,15,Good,8h 2min,10:54 PM,6:57 AM
